Id,name
1, Université  de Sétif 1 - Ferhat Abbas
2, Université de Béchar - Mohamed Tahri
3, Université  de Mascara - Mustapha Stambouli
4, Université de Saida - Tahar Moulay
5, Université  de Tlemcen - Abou Bekr Belkaid
6, Université  d'Adrar - Ahmed Draya
7, Université  de Tiaret - Ibn Khaldoun
8, Université  Sidi Bel Abbès - Djillali Liabes
9, Université de Mostaganem - Abdelhamid Ibn Badis
10, Universitéd'Oran1 - Ahmed Ben Bella
11, Université Mohamed Boudiaf  des sciences et de la technologie - Mohamed Boudiaf  d'Oran
12, Université  d'Oran 2 - Mohamed Ben Ahmed
13, Université  de Chlef - Hassiba Benbouali
14, Université de Tissemsilt
15, Université de Aïn Témouchent
16, Université de Relizane
17, Université  de Bouira - Akli Mohand Oulhadj
18, Université  de Djelfa - Ziane Achour
19, Université de Ghardaia
20, Université  de Khemis Miliana - Djilali Bounaama
21, Université  Médéa - Yahia Farès
22, Université des sciences et de la technologie d'Alger - Houari Boumediène 
23, Université de Béjaia - Abderrahmane Mira
24, Université  de Boumerdès - M'hamed Bougara
25, Université de Tizi Ouzou - Mouloud Maameri
26, Université  de Laghouat - Amar Telidji
27, Université  Blida 1 - Saad Dahlab
28, Université de Blida 2 - Lounici Ali
29, Université d'Alger 1 - Benyoucef Benkhedda
30, Université d'Alger 2 - Abou el Kacem Saâdallah
31, Université d'Alger 3 - Brahim Soltane Chaibout
32, Université de la Formation Continue
33, Université de Tamenghasset
34, Université  de Jijel - Mohammed Seddik Ben yahia
35, Université de Tébessa - Larbi Tébessi
36, Université de Bordj Bou Arréridj - Mohamed Bachir El Ibrahimi
37, Université d'El Tarf - Chadli Bendjedid
38, Université  de Khenchela - Abbas Laghrour
39, Université  de Oum El Bouaghi - Larbi Ben M'hidi
40, Université d'El Oued - Hamma Lakhdar
41, Université de Souk Ahras - Mohammed-Chérif Messaadia
42, Université  de Annaba - Badji Mokhtar
43, Université  du 20 Août 1955 de Skikda
44, Université  8 Mai 1945 de Guelma
45, Université de Batna 1 - Hadj Lakhder
46, Université  de Biskra - Mohamed Khider
47, Université  de M'sila - Mohamed Boudiaf
48, Université  de Ouargla - Kasdi Merbah
49, Université des sciences islamiques Emir Abdelkader de Constantine
50, Université  de Sétif 2 - Mohamed Lamine Debaghine
51, Université  de Constantine 1 - Frères Mentouri
52, Université  de Constantine 2 - Abdelhamid Mehri
53, Université de Constantine 3 -Salah Boubnider
54, Université de Batna 2 - Mustapha Ben Boulaid
55, Centre universitaire   de Naama - Ahmed Salhi
56, Centre universitaire   d'El Bayadh - Nour Bachir
57, Centre universitaire de Tindouf-Ali Kafi
58, Centre universitaire de Maghnia
59, Centre universitaire de Tipaza - Abdallah Morsli
60,  Centre Universitaire d'Illizi-Cheikh Amoud ben Mokhtar
61, Centre universitaire d'Aflou
62, Centre Universitaire de Mila - Abdelhafid Boussouf
63, Centre Universitaire de Barika - Si El Haouès
64, Ecole Nationale Polytechnique d'Oran - Maurice Audin
65, Ecole  Supérieure d'Informatique (Sidi Bel Abbes)- 08 Mai 1945
66, Ecole Supérieure des Sciences Appliquées de Tlemcen ex EP ST Tlemcen
67, Ecole Supérieure de Management de Tlemcen  ex EPSECG Tlemcen
68, Ecole Supérieure d'Economie d'Oran   ex EPSECG Oran
69, Ecole Supérieure en Génie Electrique et Energétique d'Oran  ex EP ST Oran
70, Ecole Supérieure Agronomique de Mostaganem  ex EP SNV Mostaganem
71, Ecole Supérieure des sciences Biologiques  d' Oran ex EP SNV Oran
72,  Ecole Nationale Polytechnique
73, Ecole nationale supérieure d'hydraulique - Arbaoui Abdellah
74,  Ecole nationale supérieure des travaux publics -  Francis Jeanson
75, Ecole nationale supérieure vétérinaire - Rabie Bouchama
76,  Ecole Polytechnique d'architecture et d'Urbanisme-Hocine Aït Ahmed
77, Ecole nationale supérieure agronomique- Khalef Abdellah alias Kasdi Merbah
78,  Ecole des hautes études commerciales
79, Ecole nationale supérieure d'informatique
80, Ecole nationale supérieure en statistique et en économie appliquée
81, Ecole Supérieure de Commerce-Mouloud Kacem Naït Belkacem
82, Ecole nationale supérieure des sciences de la mer et de l'aménagement du littoral
83, Ecole nationale supérieure de management
84, Ecole Nationale Supérieure de Technologie
85, Ecole nationale supérieure de journalisme et des sciences de l'information
86, Ecole Nationale Supérieure des sciences politiques
87, Ecole Supérieure des Sciences de l'Aliment et des Industries Agroalimentaires d'Alger  ex  EP SNV Alger
88, Ecole Supérieure des Sciences appliquées d'Alger ex EP ST Alger
89, Ecole Supérieure de Gestion et d'Economie Numérique
90, École Supérieure en Sciences et Technologies de l'Informatique et du Numérique de Bejaia
91, École Nationale Supérieure en Intelligence Artificielle
92, École Nationale Supérieure en Mathématique
93,  Ecole nationale supérieure des mines et de la métallurgie - Amar Laskri
94, Ecole Nationale Polytechnique de Constantine- Malek Bennabi
95,  Ecole Nationale Supérieure de Biotechnologie de Constantine - Tewfik Khaznadar
96, Ecole Supérieure des Sciences de Gestion de Annaba ex  - EPSECG Annaba
97, Ecole Supérieure des Technologies Industrielles de Annaba  ex EP ST Annaba
98, Ecole Supérieure de Comptabilité et de Finance de Constantine ex EPSECG Constantine
99, École nationale supérieure des forêts - Khenchela
100, L'Ecole nationale supérieure des énergies renouvelables environnement et développement durable - Batna
101, Ecole Normale Supérieure de Mostaganem
102, Ecole Normale Supérieure d'Oran
103, Ecole normale supérieure de Béchar
104, Ecole normale supérieure de Bouzaréah - Cheikh Mubarak Ben Mohamed Brahimi El Mili
105, Ecole normale supérieure de Kouba - Mohamed Bachir El Ibrahimi
106, Ecole normale supérieure de Laghouat - Taleb Abderrahmane
107, Ecole normale supérieure de Constantine -Assia Djebar
108, Ecole normale supérieure d'enseignement technologique de Skikda
109, Ecole normale supérieure de setif - Messaoud Zeghar
110, Ecole normale supérieure de Bou Saâda
111, Ecole normale supérieure de Ouargla
116,Autres 
